title, price, description, category
Condomínio fechado Solares Presidente Prudente Sp,R$ 280.000,À venda   | 420 m²,"Terrenos, sítios e fazendas"
Alugo Apartamento,R$ 550,Para alugar   | 4 quartos | 130 m² | Condomínio: R$ 600,Apartamentos
Jardim Novo Prudentino,R$ 116.000,À venda   | 3 quartos | 160 m²,CasasProfissional
Residência na Cohab,R$ 1.100,Para alugar   | 2 quartos,Casas
"Terreno para venda em presidente prudente, são sebastião",R$ 850,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
Apartamento Padrão,R$ 185.000,Para alugar   | 3 quartos | 127 m² | Condomínio: R$ 600,ApartamentosProfissional
"Apartamento para locação em presidente prudente, edificio santa helena, 3 dormitórios, 1 s",R$ 1.750.000,Para alugar   | 3 quartos | Condomínio: R$ 500,ApartamentosProfissional
"Casa para venda em presidente prudente, santa marta, 2 dormitórios, 1 banheiro, 2 vagas",R$ 250.000,À venda   | 2 quartos | 189 m²,CasasProfissional
"Apartamento para venda em presidente prudente, edifício aoki residence park, 4 dormitórios",R$ 180.000,À venda   | 4 quartos | 530 m² | Condomínio: R$ 1800,ApartamentosProfissional
"Aluga-se prédio comercial, todo azulejaria, laje",R$ 110.000,Para alugar   | 90 m² | Condomínio: R$ 0,Comércio e indústria
Vende-se ou troca,R$ 75.000,À venda,"Terrenos, sítios e fazendas"
Casa em presidente Epitacio(Campinal),R$ 100.000,À venda   | 300 m²,"Terrenos, sítios e fazendas"
"Terreno para venda em presidente prudente, residencial sao paulo",R$ 670.000,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
"Casa para venda em são paulo, centro ( gardenia ) são paulo, 2 dormitórios, 1 banheiro, 4",R$ 550.000,À venda   | 2 quartos | 530 m²,CasasProfissional
Terreno,R$ 110.000,À venda   | 175 m²,"Terrenos, sítios e fazendasProfissional"
"Apartamento com 2 dormitórios à venda, 89 m² por R$ 670.000 - Vila Mathilde Vieira - Presi",R$ 260.000,À venda   | 2 quartos | 90 m² | Condomínio: R$ 500,ApartamentosProfissional
Apartamento no Condomínio residencial Village Park,R$ 150.000,À venda   | 3 quartos | 112 m² | Condomínio: R$ 520,ApartamentosProfissional
"Casa para venda em presidente prudente, lider, 2 dormitórios",R$ 100.000,À venda   | 2 quartos | 200 m²,CasasProfissional
Oportunidade de morar localização privilegiada Parque do Povo,R$ 1.000,À venda   | 2 quartos | 99 m²,Apartamentos
Casa a venda,R$ 325.000,À venda   | 2 quartos | 50 m²,Casas
Terreno no bairro Novo Prudentino,R$ 3.000,À venda   | 317 m²,"Terrenos, sítios e fazendas"
Casa perto do centro da cidade,R$ 175.000,Para alugar   | 3 quartos | 300 m²,Casas
Condomínio fechado Porto Seguro de Presidente Prudente Sp,R$ 290.000,À venda   | 430 m² | Condomínio: R$ 600,"Terrenos, sítios e fazendas"
Casa Nova Parque Shiraiwa,R$ 500.000,À venda   | 2 quartos | 50 m²,Casas
